gauge_id,sand_perc,sand_perc_missing,silt_perc,silt_perc_missing,clay_perc,clay_perc_missing,organic_perc,organic_perc_missing,bulkdens,bulkdens_missing,bulkdens_5,bulkdens_50,bulkdens_95,tawc,tawc_missing,tawc_5,tawc_50,tawc_95,porosity_cosby,porosity_cosby_missing,porosity_cosby_5,porosity_cosby_50,porosity_cosby_95,porosity_hypres,porosity_hypres_missing,porosity_hypres_5,porosity_hypres_50,porosity_hypres_95,conductivity_cosby,conductivity_cosby_missing,conductivity_cosby_5,conductivity_cosby_50,conductivity_cosby_95,conductivity_hypres,conductivity_hypres_missing,conductivity_hypres_5,conductivity_hypres_50,conductivity_hypres_95,root_depth,root_depth_missing,root_depth_5,root_depth_50,root_depth_95,soil_depth_pelletier,soil_depth_pelletier_missing,soil_depth_pelletier_5,soil_depth_pelletier_50,soil_depth_pelletier_95
10002,40.98,0.00,35.60,0.00,23.42,0.00,5.22,0.00,1.20,0.00,0.28,1.36,1.42,116.79,0.00,55.12,110.37,235.65,43.81,0.00,42.75,43.82,44.36,51.13,0.00,44.00,47.00,81.00,1.34,0.00,1.15,1.17,2.31,1.49,0.00,1.27,1.34,3.13,1.20,0.00,0.50,1.30,1.30,13.21,0.00,1.00,2.00,41.00
10003,43.79,0.00,37.96,0.00,18.25,0.00,1.58,0.00,1.29,0.00,1.10,1.36,1.42,88.47,0.00,55.12,102.07,110.37,43.61,0.00,42.75,43.74,44.36,47.54,0.00,44.00,47.00,52.00,1.58,0.00,1.17,1.39,2.31,1.50,0.00,1.27,1.36,2.28,1.01,0.00,0.50,1.30,1.30,7.52,0.00,1.00,1.00,30.00
1001,39.25,3.16,31.97,3.16,28.79,3.16,19.32,3.16,0.74,3.16,0.28,0.28,1.38,182.04,3.16,108.92,235.65,235.65,43.86,3.16,43.60,43.60,44.36,66.45,3.16,45.00,81.00,81.00,1.16,3.16,1.15,1.15,1.38,1.87,3.16,1.27,3.13,3.13,1.30,3.16,1.30,1.30,1.30,14.54,0.00,1.00,17.00,43.00
101002,70.99,0.00,15.36,0.00,13.66,0.00,0.43,0.00,1.55,0.00,1.39,1.53,1.74,82.46,0.00,63.19,88.01,91.03,39.91,0.00,37.78,40.10,43.73,38.36,0.00,32.00,39.00,44.00,3.26,0.00,1.43,3.54,6.80,1.51,0.00,1.27,1.52,1.90,1.26,0.00,1.30,1.30,1.30,2.80,0.00,1.00,1.00,11.00
101005,71.01,0.00,15.56,0.00,13.45,0.00,0.45,0.00,1.54,0.00,1.50,1.53,1.65,83.52,0.00,63.19,88.01,91.03,39.92,0.00,37.78,40.10,40.10,38.43,0.00,34.00,39.00,39.00,3.52,0.00,3.54,3.54,6.46,1.53,0.00,1.27,1.52,1.90,1.25,0.00,1.30,1.30,1.30,3.38,0.00,1.00,1.00,18.00
102001,39.28,0.00,36.00,0.00,24.71,0.00,0.57,0.00,1.38,0.00,1.35,1.38,1.38,107.09,0.00,95.48,108.92,112.23,44.01,0.00,43.82,43.82,44.86,45.34,0.00,45.00,45.00,47.00,1.30,0.00,1.02,1.38,1.38,1.29,0.00,1.10,1.34,1.34,1.27,0.00,1.30,1.30,1.30,26.95,0.00,1.00,27.00,49.00
106001,40.14,0.00,29.12,0.00,30.74,0.00,32.07,0.00,0.31,0.00,0.28,0.28,0.28,231.27,0.00,235.65,235.65,235.65,43.66,0.00,43.60,43.60,43.60,80.17,0.00,81.00,81.00,81.00,1.11,0.00,1.15,1.15,1.15,2.71,0.00,3.13,3.13,3.13,1.30,0.00,1.30,1.30,1.30,14.92,0.00,1.00,2.00,42.00
107001,65.32,0.00,17.63,0.00,17.06,0.00,13.90,0.00,1.09,0.00,0.28,1.65,1.65,118.32,0.00,33.89,33.89,235.65,40.60,0.00,38.04,38.04,43.82,52.77,0.00,33.00,33.00,81.00,2.10,0.00,1.15,6.21,6.21,2.32,0.00,1.34,2.10,3.13,0.86,0.00,0.50,0.50,1.30,2.14,0.00,1.00,1.00,17.00
11001,51.33,0.00,31.98,0.00,16.69,0.00,3.20,0.00,1.32,0.00,0.28,1.38,1.73,86.03,0.00,33.89,95.39,235.65,42.59,0.00,37.94,43.60,44.36,46.31,0.00,32.00,45.00,81.00,1.79,0.00,1.15,1.62,6.73,1.58,0.00,1.27,1.43,3.13,0.95,0.00,0.50,1.30,1.30,3.35,0.21,1.00,1.00,21.00
11003,52.91,0.00,29.48,0.00,17.61,0.00,5.64,0.00,1.26,0.00,0.28,1.38,1.65,94.55,0.00,33.89,95.39,235.65,42.34,0.00,38.04,43.47,43.82,47.93,0.00,33.00,45.00,81.00,1.78,0.00,1.15,1.62,6.21,1.66,0.00,1.34,1.51,3.13,0.96,0.00,0.50,1.30,1.30,1.21,0.00,1.00,1.00,2.00
