date,precipitation,pet,temperature,discharge_spec,discharge_vol,peti,humidity,shortwave_rad,longwave_rad,windspeed
1970-10-01,4.67,1.15,9.38,NaN,NaN,1.43,6.05,71.60,323.22,7.38
1970-10-02,1.70,1.41,8.27,NaN,NaN,1.76,5.45,115.58,287.59,10.39
1970-10-03,4.28,1.27,9.17,NaN,NaN,1.52,5.56,76.19,315.95,5.92
1970-10-04,2.41,0.62,10.75,NaN,NaN,0.82,7.40,45.54,345.59,6.39
1970-10-05,0.02,1.44,10.39,NaN,NaN,1.48,6.21,109.42,298.20,7.96
1970-10-06,0.70,1.31,9.11,NaN,NaN,1.64,5.79,65.62,320.81,9.52
1970-10-07,2.39,0.73,8.74,NaN,NaN,0.92,6.09,64.35,320.17,4.90
1970-10-08,0.87,0.67,8.65,NaN,NaN,0.85,6.14,70.22,314.91,4.76
1970-10-09,0.00,1.16,8.29,NaN,NaN,1.16,5.46,81.31,301.79,7.76
1970-10-10,0.00,0.95,11.07,NaN,NaN,0.95,6.87,94.67,306.47,5.09
1970-10-11,0.04,0.46,8.57,NaN,NaN,0.50,6.29,58.35,320.64,3.25
1970-10-12,0.78,0.00,10.21,NaN,NaN,0.17,8.48,38.79,342.77,3.69
1970-10-13,0.23,0.35,10.98,NaN,NaN,0.39,7.40,59.20,330.40,1.56
1970-10-14,0.00,0.08,8.97,NaN,NaN,0.12,7.28,41.77,333.75,3.59
1970-10-15,0.00,0.19,10.56,NaN,NaN,0.19,7.83,40.44,341.48,3.48
1970-10-16,0.12,0.46,11.69,NaN,NaN,0.51,7.43,71.32,320.46,2.30
1970-10-17,1.44,0.63,10.61,NaN,NaN,0.82,7.08,44.76,336.07,5.68
1970-10-18,8.20,1.91,11.32,NaN,NaN,2.26,6.16,32.63,347.92,11.26
1970-10-19,5.67,0.96,6.66,NaN,NaN,1.33,5.12,63.05,296.47,12.13
1970-10-20,8.22,0.87,4.11,NaN,NaN,1.27,4.29,42.77,300.94,13.51
1970-10-21,2.80,1.40,6.01,NaN,NaN,1.73,4.12,34.13,315.19,8.56
1970-10-22,1.61,0.34,8.37,NaN,NaN,0.47,6.31,46.58,318.84,4.56
1970-10-23,1.65,0.59,8.23,NaN,NaN,0.79,5.91,29.89,332.67,5.54
1970-10-24,0.57,0.47,8.77,NaN,NaN,0.63,6.33,28.35,336.54,5.17
1970-10-25,0.85,0.44,7.74,NaN,NaN,0.57,5.70,33.41,324.98,3.83
1970-10-26,5.83,0.61,4.67,NaN,NaN,0.84,4.37,60.73,278.02,6.22
1970-10-27,0.71,0.64,3.23,NaN,NaN,0.81,3.59,25.83,305.76,3.87
1970-10-28,12.98,0.84,3.46,NaN,NaN,1.08,3.50,42.24,286.40,5.31
1970-10-29,4.68,0.23,5.89,NaN,NaN,0.36,5.48,26.39,321.12,5.97
1970-10-30,1.20,0.03,8.05,NaN,NaN,0.05,6.63,53.31,302.09,6.34
1970-10-31,1.36,0.80,8.51,NaN,NaN,1.04,5.60,12.81,334.88,6.53
1970-11-01,5.17,1.35,8.20,NaN,NaN,1.69,5.11,38.53,311.40,10.08
1970-11-02,19.35,0.39,6.74,NaN,NaN,0.57,5.57,23.52,325.33,6.27
1970-11-03,2.69,0.54,7.12,NaN,NaN,0.77,5.50,27.61,320.62,6.82
1970-11-04,0.60,0.58,5.77,NaN,NaN,0.80,4.86,23.75,317.49,6.15
1970-11-05,2.48,0.44,5.67,NaN,NaN,0.68,4.96,47.77,283.58,7.64
1970-11-06,1.75,0.60,4.96,NaN,NaN,0.76,3.91,30.83,298.17,3.62
1970-11-07,9.82,0.17,4.57,NaN,NaN,0.22,4.38,37.55,288.14,2.62
1970-11-08,3.99,0.34,6.61,NaN,NaN,0.59,5.68,26.78,315.39,10.77
1970-11-09,4.25,0.60,6.09,NaN,NaN,0.93,5.14,30.14,305.52,10.90
1970-11-10,0.24,0.59,5.75,NaN,NaN,0.74,4.41,22.19,312.83,4.05
1970-11-11,0.01,0.34,5.16,NaN,NaN,0.37,4.81,30.86,297.26,5.99
1970-11-12,0.00,0.46,2.92,NaN,NaN,0.46,3.91,38.85,270.59,7.44
1970-11-13,0.02,0.25,2.50,NaN,NaN,0.27,3.88,39.12,267.18,5.30
1970-11-14,5.45,0.35,1.73,NaN,NaN,0.50,3.37,33.02,269.95,4.31
1970-11-15,6.91,0.09,2.16,NaN,NaN,0.16,4.02,37.34,266.81,5.35
1970-11-16,1.27,0.00,2.04,NaN,NaN,0.00,4.67,33.70,274.92,5.25
1970-11-17,2.94,0.38,3.62,NaN,NaN,0.54,4.19,15.34,309.73,4.72
1970-11-18,4.97,0.00,4.12,NaN,NaN,0.00,5.00,24.95,296.07,2.27
1970-11-19,10.73,0.15,3.13,NaN,NaN,0.26,4.50,17.38,303.56,6.97
1970-11-20,16.62,0.40,3.63,NaN,NaN,0.54,3.70,30.41,274.72,4.14
1970-11-21,13.50,0.00,3.13,NaN,NaN,0.00,5.69,7.56,312.13,6.72
1970-11-22,0.00,0.33,3.85,NaN,NaN,0.33,4.10,30.67,274.60,5.44
1970-11-23,8.11,0.39,5.19,NaN,NaN,0.54,4.74,13.15,318.37,4.96
1970-11-24,1.07,0.00,7.34,NaN,NaN,0.00,7.17,13.34,330.37,6.43
1970-11-25,2.74,0.00,7.59,NaN,NaN,0.00,6.33,6.90,331.98,2.89
1970-11-26,7.70,0.14,6.84,NaN,NaN,0.18,5.50,15.30,320.44,3.21
1970-11-27,0.92,0.00,6.35,NaN,NaN,0.00,6.40,12.74,325.05,5.79
1970-11-28,7.83,0.00,7.10,NaN,NaN,0.00,6.53,6.47,330.01,2.68
1970-11-29,6.87,0.09,6.22,NaN,NaN,0.15,5.61,6.36,324.94,5.63
1970-11-30,3.56,0.18,4.93,NaN,NaN,0.31,5.09,11.49,317.90,7.12
1970-12-01,0.69,0.07,4.45,NaN,NaN,0.12,4.64,26.45,276.67,5.40
1970-12-02,0.55,0.13,3.99,NaN,NaN,0.20,4.65,11.55,311.52,4.29
1970-12-03,0.64,0.49,2.74,NaN,NaN,0.67,3.57,13.66,295.77,4.70
1970-12-04,0.32,0.05,3.54,NaN,NaN,0.09,4.48,26.87,268.48,7.04
1970-12-05,0.05,0.45,5.81,NaN,NaN,0.59,4.97,24.27,284.10,10.09
1970-12-06,1.66,0.58,4.87,NaN,NaN,0.82,4.19,23.02,279.01,6.86
1970-12-07,0.23,0.30,3.63,NaN,NaN,0.46,4.33,15.37,295.78,6.86
1970-12-08,0.00,0.19,3.51,NaN,NaN,0.19,4.19,20.04,281.07,5.30
1970-12-09,0.00,0.00,5.52,NaN,NaN,0.00,5.35,16.81,301.75,3.62
1970-12-10,0.00,0.00,4.83,NaN,NaN,0.00,5.14,10.88,314.64,2.77
1970-12-11,0.00,0.00,3.87,NaN,NaN,0.00,4.81,11.05,308.98,3.51
1970-12-12,0.00,0.00,3.62,NaN,NaN,0.00,4.90,8.43,312.34,4.01
1970-12-13,0.54,0.55,3.87,NaN,NaN,0.78,3.92,15.83,290.28,6.20
1970-12-14,0.16,0.05,3.94,NaN,NaN,0.06,4.49,13.24,300.72,3.20
1970-12-15,0.00,0.11,3.76,NaN,NaN,0.11,4.62,11.03,306.86,5.11
1970-12-16,0.01,0.37,6.31,NaN,NaN,0.40,5.01,21.22,287.35,7.04
1970-12-17,0.38,0.64,6.22,NaN,NaN,0.92,4.70,23.44,278.53,8.58
1970-12-18,0.09,0.18,7.71,NaN,NaN,0.20,6.11,5.04,332.24,6.29
1970-12-19,1.57,0.00,8.51,NaN,NaN,0.00,7.20,9.21,336.48,7.28
1970-12-20,1.43,0.58,3.23,NaN,NaN,0.84,3.68,19.48,273.97,7.03
1970-12-21,0.26,0.71,1.72,NaN,NaN,0.98,3.00,19.88,263.24,6.63
1970-12-22,2.72,0.72,3.40,NaN,NaN,0.97,3.64,10.38,302.86,6.02
1970-12-23,6.57,0.34,4.08,NaN,NaN,0.58,4.58,11.65,305.67,8.81
1970-12-24,2.58,0.10,4.45,NaN,NaN,0.15,4.87,10.05,313.12,4.69
1970-12-25,3.18,0.14,3.63,NaN,NaN,0.22,4.34,15.85,290.63,4.94
1970-12-26,1.01,0.00,4.10,NaN,NaN,0.00,5.11,5.53,314.95,6.06
1970-12-27,5.41,0.39,3.00,NaN,NaN,0.56,3.92,6.00,306.46,5.10
1970-12-28,3.13,0.24,2.54,NaN,NaN,0.35,3.94,5.19,304.76,4.46
1970-12-29,3.19,0.13,2.54,NaN,NaN,0.24,4.31,10.68,302.77,7.51
1970-12-30,3.88,0.18,0.78,NaN,NaN,0.34,3.68,14.28,283.40,8.19
1970-12-31,8.14,0.19,0.89,NaN,NaN,0.32,3.65,11.52,291.90,6.01
